sentence,intent,tokens,BIO_tags
tell me the timngs for oppenheimer at inox city center,check_showtime,"[""tell"", ""me"", ""the"", ""timngs"", ""for"", ""oppenheimer"", ""at"", ""inox"", ""city"", ""center""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
hey book 1 balcony tickets for oppenheimer at pvr nexus mall,book_ticket,"[""hey"", ""book"", ""1"", ""balcony"", ""tickets"", ""for"", ""oppenheimer"", ""at"", ""pvr"", ""nexus"", ""mall""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
i need 6 tickets for top gun maverick this tomorrow,book_ticket,"[""i"", ""need"", ""6"", ""tickets"", ""for"", ""top"", ""gun"", ""maverick"", ""this"", ""tomorrow""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-DATE""]"
look up my movie bookipg in kolkaa,check_booking_status,"[""look"", ""up"", ""my"", ""movie"", ""bookipg"", ""in"", ""kolkaa""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
um is there a 2d show of dune part two today,check_showtime,"[""um"", ""is"", ""there"", ""a"", ""2d"", ""show"", ""of"", ""dune"", ""part"", ""two"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
pls is there a 2d show of avatar the way of water today,check_showtime,"[""pls"", ""is"", ""there"", ""a"", ""2d"", ""show"", ""of"", ""avatar"", ""the"", ""way"", ""of"", ""water"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
pls where is my ticket for today,check_booking_status,"[""pls"", ""where"", ""is"", ""my"", ""ticket"", ""for"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE""]"
when is interstellar showing at raj mandir,check_showtime,"[""when"", ""is"", ""interstellar"", ""showing"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
when is interstellar showing at raj mandir,check_showtime,"[""when"", ""is"", ""interstellar"", ""showing"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
yo i want to cancel tickets for tiger 3 today,cancel_ticket,"[""yo"", ""i"", ""want"", ""to"", ""cancel"", ""tickets"", ""for"", ""tiger"", ""3"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
