sentence,intent,tokens,BIO_tags
hey hey what muvies like aatar the way of water are runwing in hyderabad,search_movie,"[""hey"", ""hey"", ""what"", ""muvies"", ""like"", ""aatar"", ""the"", ""way"", ""of"", ""water"", ""are"", ""runwing"", ""in"", ""hyderabad""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
yo,greeting,"[""yo""]","[""O""]"
yo yo i want b7 for the show,select_seat,"[""yo"", ""yo"", ""i"", ""want"", ""b7"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
yo i need 3 tickets for dune part two this 25 may,book_ticket,"[""yo"", ""i"", ""need"", ""3"", ""tickets"", ""for"", ""dune"", ""part"", ""two"", ""this"", ""25"", ""may""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
yo,greeting,"[""yo""]","[""O""]"
hey book 3 recliner tickets for top gun maverick at luxe imax,book_ticket,"[""hey"", ""book"", ""3"", ""recliner"", ""tickets"", ""for"", ""top"", ""gun"", ""maverick"", ""at"", ""luxe"", ""imax""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
um find tiger 3 in pune,search_movie,"[""um"", ""find"", ""tiger"", ""3"", ""in"", ""pune""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-CITY""]"
hey pick vip seats near a10,select_seat,"[""hey"", ""pick"", ""vip"", ""seats"", ""near"", ""a10""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
um hey there,greeting,"[""um"", ""hey"", ""there""]","[""O"", ""O""]"
pls pick regular sats near b12,select_seat,"[""pls"", ""pick"", ""regular"", ""sats"", ""near"", ""b12""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
yo what movies like the baman are running in chenni,search_movie,"[""yo"", ""what"", ""movies"", ""like"", ""the"", ""baman"", ""are"", ""running"", ""in"", ""chenni""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
um i need 3 tickets for top gun maverick this this weekend,book_ticket,"[""um"", ""i"", ""need"", ""3"", ""tickets"", ""for"", ""top"", ""gun"", ""maverick"", ""this"", ""this"", ""weekend""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
tell me the timings for oppenheimer at cinepolis central,check_showtime,"[""tell"", ""me"", ""the"", ""timings"", ""for"", ""oppenheimer"", ""at"", ""cinepolis"", ""central""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
good morning,greeting,"[""good"", ""morning""]","[""O"", ""O""]"
hello,greeting,"[""hello""]","[""O""]"
i want b12 for the show,select_seat,"[""i"", ""want"", ""b12"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
that's all thanks,goodbye,"[""that's"", ""all"", ""thanks""]","[""O"", ""O"", ""O""]"
pick vip seats near c3,select_seat,"[""pick"", ""vip"", ""seats"", ""near"", ""c3""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
what movies like avatar the way of water are running in delhi,search_movie,"[""what"", ""movies"", ""like"", ""avatar"", ""the"", ""way"", ""of"", ""water"", ""are"", ""running"", ""in"", ""delhi""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
show me showtimes for barbie on tomorrow,check_showtime,"[""show"", ""me"", ""showtimes"", ""for"", ""barbie"", ""on"", ""tomorrow""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE""]"
hey what moiies like the batman are running in hyderabad,search_movie,"[""hey"", ""what"", ""moiies"", ""like"", ""the"", ""batman"", ""are"", ""running"", ""in"", ""hyderabad""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
yo book 6 regular tix for interstellar at carnival city mall,book_ticket,"[""yo"", ""book"", ""6"", ""regular"", ""tix"", ""for"", ""interstellar"", ""at"", ""carnival"", ""city"", ""mall""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
can u book interstellar for 5 people,book_ticket,"[""can"", ""u"", ""book"", ""interstellar"", ""for"", ""5"", ""people""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
hey is jawan playing near chennai,search_movie,"[""hey"", ""is"", ""jawan"", ""playing"", ""near"", ""chennai""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
is there a 4dx show of interstellar today,check_showtime,"[""is"", ""there"", ""a"", ""4dx"", ""show"", ""of"", ""interstellar"", ""today""]","[""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
where is my ticket for this evening,check_booking_status,"[""where"", ""is"", ""my"", ""ticket"", ""for"", ""this"", ""evening""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
where is my ticket for this evening,check_booking_status,"[""where"", ""is"", ""my"", ""ticket"", ""for"", ""this"", ""evening""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
when is leo showing at wave cinemas,check_showtime,"[""when"", ""is"", ""leo"", ""showing"", ""at"", ""wave"", ""cinemas""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
hey show my booking details at raj mandir,check_booking_status,"[""hey"", ""show"", ""my"", ""booking"", ""details"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
what time does jawan start in bengaluru,check_showtime,"[""what"", ""time"", ""does"", ""jawan"", ""start"", ""in"", ""bengaluru""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
